"ble_offset","app_field","sram","modbus","herkunft","nur"
"","","0x2001517E","34411","pack5_temp_1","nur Modbus"
"","","0x20015180","34412","pack5_temp_2","nur Modbus"
"","","0x20015174","34413","pack5_ntc_block","nur Modbus"
"","","0x20015182","34417","pack5_ntc_unused","nur Modbus"
"","","0x20015154","34418","pack5_cell_voltage_1_16","nur Modbus"
"","","0x20015194","34500","pack6_bat_volt","nur Modbus"
"","","0x20015196","34501","pack6_bat_curr","nur Modbus"
"","","0x20015198","34502","pack6_soc","nur Modbus"
"","","0x2001519A","34503","pack6_cycle_count","nur Modbus"
"","","0x200151A2","34504","pack6_mos_status","nur Modbus"
"","","0x200151A4","34505","pack6_max_cell_voltage","nur Modbus"
"","","0x200151A6","34506","pack6_min_cell_voltage","nur Modbus"
"","","0x200151AC","34507","pack6_protect1","nur Modbus"
"","","0x200151AE","34508","pack6_protect2","nur Modbus"
"","","0x200151B0","34509","pack6_bms_reserved_5a","nur Modbus"
"","","0x200151B2","34510","pack6_bms_version","nur Modbus"
"","","0x200151DE","34511","pack6_temp_1","nur Modbus"
"","","0x200151E0","34512","pack6_temp_2","nur Modbus"
"","","0x200151D4","34513","pack6_ntc_block","nur Modbus"
"","","0x200151E2","34517","pack6_ntc_unused","nur Modbus"
"","","0x200151B4","34518","pack6_cell_voltage_1_16","nur Modbus"
"","","0x200151F4","34600","pack7_bat_volt","nur Modbus"
"","","0x200151F6","34601","pack7_bat_curr","nur Modbus"
"","","0x200151F8","34602","pack7_soc","nur Modbus"
"","","0x200151FA","34603","pack7_cycle_count","nur Modbus"
"","","0x20015202","34604","pack7_mos_status","nur Modbus"
"","","0x20015204","34605","pack7_max_cell_voltage","nur Modbus"
"","","0x20015206","34606","pack7_min_cell_voltage","nur Modbus"
"","","0x2001520C","34607","pack7_protect1","nur Modbus"
"","","0x2001520E","34608","pack7_protect2","nur Modbus"
"","","0x20015210","34609","pack7_bms_reserved_5a","nur Modbus"
"","","0x20015212","34610","pack7_bms_version","nur Modbus"
"","","0x2001523E","34611","pack7_temp_1","nur Modbus"
"","","0x20015240","34612","pack7_temp_2","nur Modbus"
"","","0x20015234","34613","pack7_ntc_block","nur Modbus"
"","","0x20015242","34617","pack7_ntc_unused","nur Modbus"
"","","0x20015214","34618","pack7_cell_voltage_1_16","nur Modbus"
"","","0x20014EBC","35000","env_temp","nur Modbus"
"","","0x20014EBE","35001","radiator_temp","nur Modbus"
"","","0x20014EBE","35002","radiator_temp_dup","nur Modbus"
"","","0x20014F92","35010","bms_battery_temp","nur Modbus"
"","","0x20014FCA","35011","pack1_min_cell_temp_mirror","nur Modbus"
"","","0x20014F9E","35110","bms_charge_voltage_limit","nur Modbus"
"","","0x20014FA0","35111","bms_charge_current_limit","nur Modbus"
"","","0x20014FA2","35112","bms_discharge_current_limit","nur Modbus"
"","","0x20014EA0","36000","warn_code","nur Modbus"
"","","0x20014EA4","36100","error_code1","nur Modbus"
"","","0x20014EA8","36102","error_code2","nur Modbus"
"","","0x20000133","37000","modbus_slave_address","nur Modbus"
"","","0x2000014C","37001","status_block_offset8","nur Modbus"
"","","0x2000014E","37002","max_charge_power","nur Modbus"
"","","0x20000150","37003","max_discharge_power","nur Modbus"
"","","0x20014FB8","37005","pack1_soc_scaled","nur Modbus"
"","","0x20014FC8","37006","pack1_max_cell_temp_mirror","nur Modbus"
"","","0x20014FC4","37007","pack1_max_cell_voltage","nur Modbus"
"","","0x20014FC6","37008","pack1_min_cell_voltage","nur Modbus"
"","","0x20014FCC","37009","block_34007_34008","nur Modbus"
"","","0x20014FD0","37011","block_34009_34010","nur Modbus"
"","","0x20014EA4","37013","error_code1","nur Modbus"
"","","0x20014EA8","37015","error_code2","nur Modbus"
"","","0x20014F58","37017","mppt1_power","nur Modbus"
"","","0x20014F5E","37018","mppt2_power","nur Modbus"
"","","0x20014F64","37019","mppt3_power","nur Modbus"
"","","0x20014F6A","37020","mppt4_power","nur Modbus"
"","","0x20014F78","37021","pv_year_capacity","nur Modbus"
"","","0x20014F4E","37023","mppt_error","nur Modbus"
"","","0x20014F52","37024","mppt_warning","nur Modbus"
"","","0x20000168","38000","can40_w1","nur Modbus"
"","","0x2000016A","38001","can40_w2","nur Modbus"
"","","0x2000016C","38002","can40_w3","nur Modbus"
"","","0x2000016E","38003","can40_w4","nur Modbus"
"","","0x20000170","38004","can41_w1","nur Modbus"
"","","0x20000172","38005","can41_w2","nur Modbus"
"","","0x20000174","38006","can41_w3","nur Modbus"
"","","0x20000176","38007","can42_w1","nur Modbus"
"","","0x20000178","38008","can42_w2","nur Modbus"
"","","0x2000017A","38009","can42_w3","nur Modbus"
"","","0x2000017C","38010","can42_w4","nur Modbus"
"","","0x2000017E","38011","can43_w1","nur Modbus"
"","","0x20000180","38012","can43_w2","nur Modbus"
"","","0x20000182","38013","can43_w3","nur Modbus"
"","","0x20000184","38014","can43_w4","nur Modbus"
"","","0x200002B4","40000","rs485_unlock","nur Modbus"
"","","0x20000348","41000","command_register","nur Modbus"
"","","0x20000133","41100","modbus_slave_address","nur Modbus"
"","","0x20014CFC","41200","backup_ups_enable","nur Modbus"
"","","0x20014DC2","41500","schedule_time_00","nur Modbus"
"","","0x20014DC4","41501","schedule_time_01","nur Modbus"
